time (s),power (w)
1.15,3.749
2.2,3.748
5.44,3.708
6.5,3.709
7.57,4.96
8.67,4.928
9.77,5.204
10.8,5.715
12.93,5.705
12.97,5.702
15.06,5.732
20.46,5.731
21.49,5.461
22.59,4.475
24.69,4.517
